,ids,urls,titles,labels
33,zeGPA1n47UY,https://www.youtube.com/watch?v=zeGPA1n47UY,US election: Trump refuses to initiate transition process | DW News,2
34,aj7ELbw8FxM,https://www.youtube.com/watch?v=aj7ELbw8FxM,Election 2020 results and analysis,2
35,FYx4u70Djw4,https://www.youtube.com/watch?v=FYx4u70Djw4,US election result in balance on final day of campaign - BBC News,2
36,5W9-MJXvtFI,https://www.youtube.com/watch?v=5W9-MJXvtFI,How Joe Biden Won? | US Elections Analysis by Dhruv Rathee,2
37,YOvJ-8rlsjs,https://www.youtube.com/watch?v=YOvJ-8rlsjs,US Election: Trump closer to accepting the reality of his election defeat,2
38,g0Gnh4oBVgA,https://www.youtube.com/watch?v=g0Gnh4oBVgA,US election: The crazy election campaign in three minutes - BBC News,1
39,QBolIeBynMQ,https://www.youtube.com/watch?v=QBolIeBynMQ,USA Elections 2020 | Explained by Dhruv Rathee,2
40,VwE92TnCWes,https://www.youtube.com/watch?v=VwE92TnCWes,US Election 2020: Is American democracy in crisis? - BBC News,2
41,2SYstJspi8k,https://www.youtube.com/watch?v=2SYstJspi8k,"Biden, Trump campaigns enter final sprint: US elections news",2
42,X0ncNWqQee0,https://www.youtube.com/watch?v=X0ncNWqQee0,US Election 2020 Results Live Updates || Donald Trump Vs Joe Biden - Tv9,2
43,7p5xKGtfLSc,https://www.youtube.com/watch?v=7p5xKGtfLSc,Biden and Trump in battleground blitz: US elections news,2
44,AIELYm68akI,https://www.youtube.com/watch?v=AIELYm68akI,What happens if Trump rejects the U.S. election result,2
45,K1Pw2zEALdo,https://www.youtube.com/watch?v=K1Pw2zEALdo,US Elections 2020: The world's most expensive election - BBC News,2
46,oWz-o4WuqhM,https://www.youtube.com/watch?v=oWz-o4WuqhM,US election: Fact vs conspiracy - BBC Newsnight,2
47,uIyAEg3A5iQ,https://www.youtube.com/watch?v=uIyAEg3A5iQ,Biden confirmed as U.S. president-elect by electoral college,2
48,KXD-MkmP8BY,https://www.youtube.com/watch?v=KXD-MkmP8BY,"Trump OKs Biden transition, still refuses to concede | US election 2020",2
49,i6xenpzHL4s,https://www.youtube.com/watch?v=i6xenpzHL4s,US Election: The last votes needed for each candidate,2
50,LkcM2wDGZD4,https://www.youtube.com/watch?v=LkcM2wDGZD4,US Election: Joe Biden “confident of victory” as he nears winning post - BBC News,2
51,VuBPWbMSKf0,https://www.youtube.com/watch?v=VuBPWbMSKf0,US election 2020: What is the electoral college? - BBC News,1
52,scAv4uvGgkM,https://www.youtube.com/watch?v=scAv4uvGgkM,Trump campaign continues to push back against U.S. election results,2
53,nJaFtr1zC84,https://www.youtube.com/watch?v=nJaFtr1zC84,US Election: Biden takes lead in Georgia,2
54,9tOEvLosuE4,https://www.youtube.com/watch?v=9tOEvLosuE4,US Election: Who voted for Donald Trump?,2
55,Q_XGRNqBqy4,https://www.youtube.com/watch?v=Q_XGRNqBqy4,US presidential election result still uncertain with Biden in the lead | DW News,2
56,T3bQx6sT-UM,https://www.youtube.com/watch?v=T3bQx6sT-UM,"Watch: Donald Trump dances, asking people to vote in US elections",1
57,KtNZV7qezMM,https://www.youtube.com/watch?v=KtNZV7qezMM,US Elections: Trump's statement in Full - BBC News,2
58,TIfiY2RErZI,https://www.youtube.com/watch?v=TIfiY2RErZI,More Republicans say they will object to US election results,2
59,WTBDeaWry4A,https://www.youtube.com/watch?v=WTBDeaWry4A,As it happened: US Election 2020,2
60,fF2Kpa82IGY,https://www.youtube.com/watch?v=fF2Kpa82IGY,US Election 2020: Who is winning the US presidential election?,2
61,ek7PkGd7TT0,https://www.youtube.com/watch?v=ek7PkGd7TT0,US Election 2020: Biden makes statement in Delaware - BBC News,2
62,BSmWmApAX7I,https://www.youtube.com/watch?v=BSmWmApAX7I,More States Certify Election Results As Trump Team Pushes False Claims | TODAY,2
63,_-f8ak0nmcg,https://www.youtube.com/watch?v=_-f8ak0nmcg,US Election 2020 Results Live Updates || Donald Trump Vs Joe Biden - Tv9,2
64,6AX2sZ4Y2e8,https://www.youtube.com/watch?v=6AX2sZ4Y2e8,US Election 2020: Counting goes on in key states - BBC News,2
65,9HPF1r3brX0,https://www.youtube.com/watch?v=9HPF1r3brX0,Joe Biden leads polls in US election | 9 News Australia,2
66,T3KI3OE3qHY,https://www.youtube.com/watch?v=T3KI3OE3qHY,Senator Plans To Object To Electoral College Vote In Effort To Overturn Election Results | TODAY,2
67,B_MbdRaEM18,https://www.youtube.com/watch?v=B_MbdRaEM18,US Election: Tensions rising as Trump lead narrows in Georgia,2
68,PPtZr7TWssQ,https://www.youtube.com/watch?v=PPtZr7TWssQ,US Election: Head-to-head race with no clear winner in sight | DW News,2
69,dwomNoDyYfg,https://www.youtube.com/watch?v=dwomNoDyYfg,Pennsylvania 2020 Election: Why This Ex-Trump Voter Backs Biden,2
70,q_5Sy8sFsyk,https://www.youtube.com/watch?v=q_5Sy8sFsyk,Six states that could swing the 2020 presidential election,2
71,jD0UKBkJ3MA,https://www.youtube.com/watch?v=jD0UKBkJ3MA,Supreme Court Rejects Texas Lawsuit To Overturn Presidential Election Results | TODAY,2
72,5uD5Z5P6bIs,https://www.youtube.com/watch?v=5uD5Z5P6bIs,Russia's President Vladimir Putin breaks silence over the US Presidential Election,2
73,9W_hKikyoUM,https://www.youtube.com/watch?v=9W_hKikyoUM,"US Election: Trump ahead in Florida, indicating a close race | DW News",2
74,48EZKXweGDo,https://www.youtube.com/watch?v=48EZKXweGDo,Election Basics: Crash Course Government and Politics #36,1
75,RwLYWcj5NQc,https://www.youtube.com/watch?v=RwLYWcj5NQc,How U.S. presidential elections typically impact stocks,2
76,eSG4hiroE0Q,https://www.youtube.com/watch?v=eSG4hiroE0Q,US election 2020: Final presidential debate between Trump and Biden,2
77,WCQr4CBVWGg,https://www.youtube.com/watch?v=WCQr4CBVWGg,U.S. election: What early voting patterns say about the race,2
78,oEkhW8m7rdo,https://www.youtube.com/watch?v=oEkhW8m7rdo,How The States Voted In Every Presidential Election,1
79,HYHu9PMY_C4,https://www.youtube.com/watch?v=HYHu9PMY_C4,US Elections vs. the Stock Market,1
80,v-43wPyblUA,https://www.youtube.com/watch?v=v-43wPyblUA,"WATCH: Election results for Trump, Biden and key swing state races | USA TODAY",2
81,105yW4dopLc,https://www.youtube.com/watch?v=105yW4dopLc,US election: Biden responds to Trump's backtrack on recognizing his win,2
82,yiqp7gNdKjA,https://www.youtube.com/watch?v=yiqp7gNdKjA,"US election: Trump, Biden face off in final presidential debate | FULL",2
83,ok_VQ8I7g6I,https://www.youtube.com/watch?v=ok_VQ8I7g6I,Electing a US President in Plain English,1
84,8obZDUlFmcI,https://www.youtube.com/watch?v=8obZDUlFmcI,US Election 2020: Trump to have ‘peaceful’ exit from White House | 9 News Australia,2
85,R602Wj-1gnQ,https://www.youtube.com/watch?v=R602Wj-1gnQ,US Congress to certify Biden's victory in Presidential election,2
86,0prleuJW7CY,https://www.youtube.com/watch?v=0prleuJW7CY,US election security officials reject Trump's fraud claims - BBC News,2
87,7b-3NOV6ERA,https://www.youtube.com/watch?v=7b-3NOV6ERA,US elections 2020: Trump and Biden spar in more restrained event,2
88,2CjoOFFXYJA,https://www.youtube.com/watch?v=2CjoOFFXYJA,US top court refuses to take up latest Trump election challenge,2
89,5H-Sr976M8s,https://www.youtube.com/watch?v=5H-Sr976M8s,US Elections Dilemma: What Happens When Donald Trump Will Leave White House? Explains Geeta Mohan,2
90,LyC855KdBKo,https://www.youtube.com/watch?v=LyC855KdBKo,Election Results 2020: Last Week Tonight with John Oliver (HBO),2
91,LxqnCa59gLI,https://www.youtube.com/watch?v=LxqnCa59gLI,US Election: Trump claims “theft and fraud” as Biden awaits victory - BBC News,2
92,mreNn_2-QJ8,https://www.youtube.com/watch?v=mreNn_2-QJ8,2020 election results and continuing coverage,2
93,jxHxrEAvFog,https://www.youtube.com/watch?v=jxHxrEAvFog,US elections 2020: And winner is..,2
94,aXBZvHsQ3qI,https://www.youtube.com/watch?v=aXBZvHsQ3qI,"US Elections 2020: Biden Inches Closer To Win, Trump Vows Legal Challenge",2
95,Oj9GpZB9cuc,https://www.youtube.com/watch?v=Oj9GpZB9cuc,Election 2020 Results: Swing states still being decided in race between Trump and Biden | USA TODAY,2
96,nkW5SUmwMSo,https://www.youtube.com/watch?v=nkW5SUmwMSo,How the 2020 presidential election could affect markets,2
97,e0tIkqw6uc4,https://www.youtube.com/watch?v=e0tIkqw6uc4,What next for Donald Trump after his election defeat to Joe Biden? | ITV News,2
98,Qr7pGql7aiE,https://www.youtube.com/watch?v=Qr7pGql7aiE,US Election 2020: Trump supporters show Biden winning Pennsylvania won't be easy,2
99,FmM3QHPdTwk,https://www.youtube.com/watch?v=FmM3QHPdTwk,US election: How will protests against a 'stolen election' affect America? - BBC Newsnight,2
100,71XdWDMivfA,https://www.youtube.com/watch?v=71XdWDMivfA,Why the Indian-American vote matters in the upcoming 2020 US elections,0
101,wpU7Q8bT9wA,https://www.youtube.com/watch?v=wpU7Q8bT9wA,US Election: Trump is 'last among United States presidents',2
102,rN8wIuuyAb0,https://www.youtube.com/watch?v=rN8wIuuyAb0,US Congress: Republicans challenge Biden win against Trump in presidential election – watch live,2
103,lOxr90niJl4,https://www.youtube.com/watch?v=lOxr90niJl4,He's been correct for 40 years - now historian predicts 2020 election winner | 9 News Australia,2
104,v0Tz8M-2uCk,https://www.youtube.com/watch?v=v0Tz8M-2uCk,US elections: Trump campaign appeals loss in Pennsylvania election dispute,2
105,WiCaNBRAxQM,https://www.youtube.com/watch?v=WiCaNBRAxQM,How the US counts votes,2
106,1nE9oOH73OQ,https://www.youtube.com/watch?v=1nE9oOH73OQ,US Elections 2020 Results: Here's What We Know So Far | Big Story,1
107,39FjUYfvMgs,https://www.youtube.com/watch?v=39FjUYfvMgs,Why does the US vote for president on Tuesdays? | US Elections 2016,1
108,gCoU_tdgVMA,https://www.youtube.com/watch?v=gCoU_tdgVMA,Why Trump fired the official charged with securing U.S. elections,2
109,5IESSHCZMds,https://www.youtube.com/watch?v=5IESSHCZMds,US election: Trump urges lawmakers to ignore official election results,2
110,I4bttGCd8_k,https://www.youtube.com/watch?v=I4bttGCd8_k,How does the US electoral college work? | US Elections 2016,2
111,lDgryd73r0k,https://www.youtube.com/watch?v=lDgryd73r0k,"US election: Just a matter of time before Republicans stop backing President Trump, Sen. Coons says",2
112,Z2XFzH8e5ow,https://www.youtube.com/watch?v=Z2XFzH8e5ow,"US election: Trump finally acknowledges Biden win, still refuses to concede",2
113,ROMf2hACF6Y,https://www.youtube.com/watch?v=ROMf2hACF6Y,USA Elections: America में Presidential Election कैसे होता है? (BBC Hindi),0
114,FrrlsJDh0fc,https://www.youtube.com/watch?v=FrrlsJDh0fc,The final push before Election Day,2
115,CkoVVEIsptQ,https://www.youtube.com/watch?v=CkoVVEIsptQ,Trump advisor believes presidency is still in play: US Election | 9 News Australia,2
116,6rm9oQt6YgY,https://www.youtube.com/watch?v=6rm9oQt6YgY,The US Elections Explained: The Nomination Process,1
117,XIBUAKL6hT4,https://www.youtube.com/watch?v=XIBUAKL6hT4,World reactions mixed after Joe Biden’s 2020 US presidential election victory,2
118,XoFEWEdRrpg,https://www.youtube.com/watch?v=XoFEWEdRrpg,US elections 2020: Native Americans could sway some swing states,2
119,hyj8iHGI8K8,https://www.youtube.com/watch?v=hyj8iHGI8K8,New wave of first-time voters in US elections,2
120,KrNYlQED_vg,https://www.youtube.com/watch?v=KrNYlQED_vg,US Presidential Election - Important Terms and Terminologies of US elections explained #UPSC #IAS,0
121,SBjxGekgpZs,https://www.youtube.com/watch?v=SBjxGekgpZs,99% People Are Not Happy With Trump: Indian Americans | US Elections 2020 | ABP News,2
122,GbGxaCP67nw,https://www.youtube.com/watch?v=GbGxaCP67nw,What investors are predicting for the 2020 U.S. elections: Survation survey,2
123,K8Z9Kqhrh5c,https://www.youtube.com/watch?v=K8Z9Kqhrh5c,Watch In Full: Trump versus Biden in the first US Presidential election debate,2
124,BSTOY7DfV08,https://www.youtube.com/watch?v=BSTOY7DfV08,US ELECTIONS 2020,1
125,RJtnqstuL_4,https://www.youtube.com/watch?v=RJtnqstuL_4,"US Elections | Defeat for Trump: What Latest Surveys, Betting Market Estimates Predict",2
126,qTsoDW0UxMk,https://www.youtube.com/watch?v=qTsoDW0UxMk,Swing states still undecided in race between Trump and Biden | USA TODAY,2
127,789H21_ABZ0,https://www.youtube.com/watch?v=789H21_ABZ0,"US Elections 2020: ‘No doubt we will be declared winners,’ says Joe Biden",2
128,8Ad15RCwbmg,https://www.youtube.com/watch?v=8Ad15RCwbmg,How Trump reacted to losing the US election,2
129,pp8bKdYdqZc,https://www.youtube.com/watch?v=pp8bKdYdqZc,US election: Congress' certification of Joe Biden's win interrupted amid security concerns,2
130,29Cwhj1oaYk,https://www.youtube.com/watch?v=29Cwhj1oaYk,Biden vs Trump: The US Election Explained as America Takes to the Polls | Good Morning Britain,2
131,BLfSXYz1Ph4,https://www.youtube.com/watch?v=BLfSXYz1Ph4,US Elections 2020 Results With Prannoy Roy,2
132,lkrmeZRJ5KE,https://www.youtube.com/watch?v=lkrmeZRJ5KE,"US election: Court hearings on Trump's ""stolen election"" claims set to start",2
133,1hRU_9dUM24,https://www.youtube.com/watch?v=1hRU_9dUM24,Which swing states could decide the US election?,2
134,4Rnb0j-bNmM,https://www.youtube.com/watch?v=4Rnb0j-bNmM,Can Trump steal the election?,2
135,rMCdNwc6VZs,https://www.youtube.com/watch?v=rMCdNwc6VZs,US Election: 'Donald Trump has the right to wait until the vote is certified',2
136,cRyOJZMEUX4,https://www.youtube.com/watch?v=cRyOJZMEUX4,Road to 270: Polls show Trump leading in only 2 battleground states,2
137,UEN8jEZaAbI,https://www.youtube.com/watch?v=UEN8jEZaAbI,US election: Trump supporters rally against election results following Biden victory,2
138,uwkUlLqzJ6w,https://www.youtube.com/watch?v=uwkUlLqzJ6w,US elections: Democratic nominees reveal policy positions,2
139,za6u4KpnsDA,https://www.youtube.com/watch?v=za6u4KpnsDA,Why 2020 U.S elections will Impact India-U.S relations Current Affairs 2020 #UPSC #IAS,2
140,CPYFiaL6cTE,https://www.youtube.com/watch?v=CPYFiaL6cTE,Continuing coverage and analysis of 2020 election results,2
141,K7rA_5zRw7Y,https://www.youtube.com/watch?v=K7rA_5zRw7Y,Americans divided over presidential election results,2
142,pMmRXJIAWqo,https://www.youtube.com/watch?v=pMmRXJIAWqo,US election: Electoral College to confirm Joe Biden win,2
143,WoQ-kxHOOeY,https://www.youtube.com/watch?v=WoQ-kxHOOeY,"US election: ""Numbers don’t lie,"" ballot recount in Georgia shows Biden lead over Trump",2
144,QMiVstjhxSY,https://www.youtube.com/watch?v=QMiVstjhxSY,ELECTION 2020: Live coverage of the presidential election; Florida and Tampa Bay area results,2
145,lNzg8JX6G2w,https://www.youtube.com/watch?v=lNzg8JX6G2w,US election: Why won't Trump concede the election to Biden?,2
146,zA4F_BBt5ng,https://www.youtube.com/watch?v=zA4F_BBt5ng,Moscow says U.S. election exposes flaws,1
147,oCLn0Mu8VgE,https://www.youtube.com/watch?v=oCLn0Mu8VgE,What the latest effort to overturn presidential election results says about Republican Party,2
148,txbUNP4Wlag,https://www.youtube.com/watch?v=txbUNP4Wlag,Faith v fraud: how Biden and Trump reacted to the US election results,2
149,FSxH4P58q4Y,https://www.youtube.com/watch?v=FSxH4P58q4Y,US election: Here's how the electoral college works,2
150,67w2722DQeg,https://www.youtube.com/watch?v=67w2722DQeg,US Presidential Election - Complete process of US election explained #UPSC #IAS,0
151,skav0Vbrn_Y,https://www.youtube.com/watch?v=skav0Vbrn_Y,Biden eyes victory as Trump fires warning tweet: US election | 9 News Australia,2
152,f2YlaXFZg8Q,https://www.youtube.com/watch?v=f2YlaXFZg8Q,Donald Trump holds first rally since U.S. election ahead of crucial Georgia Senate runoff,2
153,4sC-k-92JBE,https://www.youtube.com/watch?v=4sC-k-92JBE,Fox News projects Joe Biden will win 2020 presidential election,2
154,obDRwMMjyEY,https://www.youtube.com/watch?v=obDRwMMjyEY,US Elections | Joe Biden Urges Americans to be Calm As Votes Are Still Counted | The Quint,2
155,gTRtx2PCras,https://www.youtube.com/watch?v=gTRtx2PCras,Minority communities targeted by misleading info in US elections,2
156,JMO2yVT0TBo,https://www.youtube.com/watch?v=JMO2yVT0TBo,US election: Judge dismisses Trump Pennsylvania lawsuit as “without merit”,2
157,cMz_sTgoydQ,https://www.youtube.com/watch?v=cMz_sTgoydQ,Trump & Election Results: Last Week Tonight with John Oliver (HBO),2
158,A1DEd0iKC8Q,https://www.youtube.com/watch?v=A1DEd0iKC8Q,"Election Night 2020: Coverage of Trump, Biden and key races | USA TODAY",2
159,Deujz7dajHU,https://www.youtube.com/watch?v=Deujz7dajHU,Why was ballot counting halted in Philadelphia? | US election 2020,2
160,6BpmoKQBmFo,https://www.youtube.com/watch?v=6BpmoKQBmFo,Trump yet to concede after Biden win: US Election | 9 News Australia,2
161,8ivhfiVlsF8,https://www.youtube.com/watch?v=8ivhfiVlsF8,US Elections : What about climate change?,2
162,A8yTVnUf-Ls,https://www.youtube.com/watch?v=A8yTVnUf-Ls,What the polls say about the presidential race 6 days before election,2
163,Z4MRIg6bPnc,https://www.youtube.com/watch?v=Z4MRIg6bPnc,US Elections 2020 | How Biden Won & What Played Out | The Quint,2
164,K0KmOehKsQk,https://www.youtube.com/watch?v=K0KmOehKsQk,US Election: What will it take to win?,2
165,uf3Ps5dHxrE,https://www.youtube.com/watch?v=uf3Ps5dHxrE,The U.S. Presidential Election: Can Donald Trump once again defy the polls? | Four Corners,2
166,5mMhn_pGHRA,https://www.youtube.com/watch?v=5mMhn_pGHRA,US elections 2020: Trump holding five rallies in three days,2
167,Jdadb7qMBcE,https://www.youtube.com/watch?v=Jdadb7qMBcE,US Presidential Election explained (explainity® explainer video),2
168,Dh1tnjB7SCE,https://www.youtube.com/watch?v=Dh1tnjB7SCE,US Capitol riot: Donald Trump concedes presidential election amid riot backlash,2
169,jTkLcV334pU,https://www.youtube.com/watch?v=jTkLcV334pU,Why Europe is praying for Trump to lose the US election | DW Analysis,2
170,b_2xz0cvrK8,https://www.youtube.com/watch?v=b_2xz0cvrK8,Pence declares Biden the winner of the 2020 presidential election,2
171,Axxem0eDgg4,https://www.youtube.com/watch?v=Axxem0eDgg4,US Elections 2020 | Update on results: Sherwin Bryce-Pease,2
172,ng5Qg3XDnFs,https://www.youtube.com/watch?v=ng5Qg3XDnFs,US Presidential Election : Concept Talk by Dr. Vikas Divyakirti,0
173,hoxN3zX6bIg,https://www.youtube.com/watch?v=hoxN3zX6bIg,US Elections 2020: The impact of a Trump victory,1
174,srDL3BfLWWw,https://www.youtube.com/watch?v=srDL3BfLWWw,"2020 US Elections: Sober Trump, Savage Biden: How the Final US Presidential Debate Played Out",2
175,8X-1pujMELk,https://www.youtube.com/watch?v=8X-1pujMELk,Why China is rooting for a Trump re-election | US elections 2020,1
176,3gQ3sPFQQck,https://www.youtube.com/watch?v=3gQ3sPFQQck,US Elections 2020: Why Joe Biden Or Donald Trump May Refuse To Concede The Election On November 3,2
177,7aKTFF8Fxf0,https://www.youtube.com/watch?v=7aKTFF8Fxf0,Trump compares 2020 US election to 'third world nation',2
178,48elf9KnW1k,https://www.youtube.com/watch?v=48elf9KnW1k,US Elections 2020 | Biden edges closer to electoral victory,2
179,886nnRdCNP0,https://www.youtube.com/watch?v=886nnRdCNP0,Latest presidential election update,2
180,fSU4TnHs8Hs,https://www.youtube.com/watch?v=fSU4TnHs8Hs,US Elections | Going to Win This: Biden Says As He Leads White House Race | The Quint,2
181,wL-WEQpnzqQ,https://www.youtube.com/watch?v=wL-WEQpnzqQ,LIVE: Americans head to the polls on Election Day,2
182,eiTqL8nikcs,https://www.youtube.com/watch?v=eiTqL8nikcs,US Elections 2020 | Update on polls in Washington: Kate Fisher,2
183,AEGHRPCVGd4,https://www.youtube.com/watch?v=AEGHRPCVGd4,US Elections 2020 | Electoral College update,2
184,N_3GPCra51A,https://www.youtube.com/watch?v=N_3GPCra51A,Hong Kong residents closely watching results of 2020 US elections,2
185,ySXFmPENFoI,https://www.youtube.com/watch?v=ySXFmPENFoI,US Presidential election: Certification law locks Congress into accepting Biden win,2
186,KkbgnxFWw9k,https://www.youtube.com/watch?v=KkbgnxFWw9k,Live coverage of Joe Biden capturing the presidency | USA TODAY,2
187,C8FzVistDHY,https://www.youtube.com/watch?v=C8FzVistDHY,Professor who's been right about every election since 1984 reveals his 2020 prediction,2
188,Ex2m5M2dkC8,https://www.youtube.com/watch?v=Ex2m5M2dkC8,Discussion Today - U S Elections: The Indian-American Vote,1
189,coFDdE6U0Xw,https://www.youtube.com/watch?v=coFDdE6U0Xw,Vir Das | WINNING THE AMERICAN ELECTION 2020 | A rant,2
190,5S7eKbCTYe4,https://www.youtube.com/watch?v=5S7eKbCTYe4,The Big Picture - US Elections Enter Final Stretch,2
191,MvuZ0iNUslA,https://www.youtube.com/watch?v=MvuZ0iNUslA,US Elections 2020 | Donald Trump | Joe Biden| Kamala Harris | View from India | Barkha Dutt,0
192,iLX9Jn5IPL4,https://www.youtube.com/watch?v=iLX9Jn5IPL4,US elections 2020: Joe Biden's victory across three states,2
193,CqRow1DlcUk,https://www.youtube.com/watch?v=CqRow1DlcUk,"US Elections 2020 | Trump, Biden still in the race: Sherwin Byce-Pease",2
194,fFy2MxkEs0A,https://www.youtube.com/watch?v=fFy2MxkEs0A,US Elections 2020: The impact of a Biden victory,2
195,Jso8E3FSg4s,https://www.youtube.com/watch?v=Jso8E3FSg4s,Big News Big Debate : Donald Trump vs Joe Biden || US Elections 2020 - Rajinikanth TV9,0
196,y7-prYZpE84,https://www.youtube.com/watch?v=y7-prYZpE84,"Congress formally certifies Joe Biden, Kamala Harris as winners of 2020 election | FULL",2
197,FKlNZ_0weuk,https://www.youtube.com/watch?v=FKlNZ_0weuk,US electoral college confirms Joe Biden's win over Trump: 'Democracy prevailed',2
198,5pgRZ0P3F0Y,https://www.youtube.com/watch?v=5pgRZ0P3F0Y,US Elections: 5 Facts you DIDN'T know about voting in the US | Free Documentary,1
199,AZjv5YzOaWc,https://www.youtube.com/watch?v=AZjv5YzOaWc,Trump still falsely claims he won presidential election,2
200,unSQFI7r9JE,https://www.youtube.com/watch?v=unSQFI7r9JE,US elections: Joe Biden says team will repair pandemic damage,1
201,zWWCziqaOWQ,https://www.youtube.com/watch?v=zWWCziqaOWQ,How Donald Trump's relationship with social media turned sour | US elections 2020,1
202,9eMoCW1Pq54,https://www.youtube.com/watch?v=9eMoCW1Pq54,CNN's Van Jones brought to tears as Joe Biden wins US election,2
203,k0LOyGtNQnc,https://www.youtube.com/watch?v=k0LOyGtNQnc,What Is Trump’s Endgame With Fighting The Election Results? | Sunday TODAY,2
204,fdaB1UP20iw,https://www.youtube.com/watch?v=fdaB1UP20iw,US election: Joe Biden speaks after Electoral College finishes voting | FULL,2
